,ID,DATE,TOSS_WINNER,WINNER,PLAYER_OF_MATCH
0,1,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,BB McCullum
1,2,2008-04-19,Chennai Super Kings,Chennai Super Kings,MEK Hussey
2,3,2008-04-19,Rajasthan Royals,Delhi Daredevils,MF Maharoof
3,4,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,MV Boucher
4,5,2008-04-20,Deccan Chargers,Kolkata Knight Riders,DJ Hussey
5,6,2008-04-21,Kings XI Punjab,Rajasthan Royals,SR Watson
6,7,2008-04-22,Deccan Chargers,Delhi Daredevils,V Sehwag
7,8,2008-04-23,Mumbai Indians,Chennai Super Kings,ML Hayden
8,9,2008-04-24,Rajasthan Royals,Rajasthan Royals,YK Pathan
9,10,2008-04-25,Mumbai Indians,Kings XI Punjab,KC Sangakkara
10,11,2008-04-26,Rajasthan Royals,Rajasthan Royals,SR Watson
11,12,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,JDP Oram
12,13,2008-04-27,Deccan Chargers,Deccan Chargers,AC Gilchrist
13,14,2008-04-27,Delhi Daredevils,Kings XI Punjab,SM Katich
14,15,2008-04-28,Chennai Super Kings,Chennai Super Kings,MS Dhoni
15,16,2008-04-29,Kolkata Knight Riders,Mumbai Indians,ST Jayasuriya
16,17,2008-04-30,Royal Challengers Bangalore,Delhi Daredevils,GD McGrath
17,18,2008-05-01,Kings XI Punjab,Kings XI Punjab,SE Marsh
18,19,2008-05-01,Rajasthan Royals,Rajasthan Royals,SA Asnodkar
19,20,2008-05-02,Chennai Super Kings,Delhi Daredevils,V Sehwag
20,21,2008-05-25,Deccan Chargers,Royal Challengers Bangalore,R Vinay Kumar
21,22,2008-05-03,Kings XI Punjab,Kings XI Punjab,IK Pathan
22,23,2008-05-04,Delhi Daredevils,Mumbai Indians,SM Pollock
23,24,2008-05-04,Chennai Super Kings,Rajasthan Royals,Sohail Tanvir
24,25,2008-05-05,Kings XI Punjab,Kings XI Punjab,S Sreesanth
25,26,2008-05-06,Deccan Chargers,Deccan Chargers,AC Gilchrist
26,27,2008-05-07,Mumbai Indians,Mumbai Indians,A Nehra
27,28,2008-05-08,Chennai Super Kings,Chennai Super Kings,MS Dhoni
28,29,2008-05-08,Kolkata Knight Riders,Kolkata Knight Riders,SC Ganguly
29,30,2008-05-09,Rajasthan Royals,Rajasthan Royals,YK Pathan
30,31,2008-05-28,Mumbai Indians,Mumbai Indians,CRD Fernando
31,32,2008-05-10,Kings XI Punjab,Chennai Super Kings,L Balaji
32,33,2008-05-11,Kolkata Knight Riders,Kolkata Knight Riders,SC Ganguly
33,34,2008-05-11,Rajasthan Royals,Rajasthan Royals,SR Watson
34,35,2008-05-12,Royal Challengers Bangalore,Kings XI Punjab,SE Marsh
35,36,2008-05-13,Kolkata Knight Riders,Kolkata Knight Riders,Shoaib Akhtar
36,37,2008-05-14,Mumbai Indians,Mumbai Indians,ST Jayasuriya
37,38,2008-05-28,Rajasthan Royals,Kings XI Punjab,SE Marsh
38,39,2008-05-15,Deccan Chargers,Delhi Daredevils,A Mishra
39,40,2008-05-16,Mumbai Indians,Mumbai Indians,SM Pollock
40,41,2008-05-17,Delhi Daredevils,Kings XI Punjab,DPMD Jayawardene
41,42,2008-05-17,Royal Challengers Bangalore,Rajasthan Royals,GC Smith
42,43,2008-05-18,Deccan Chargers,Mumbai Indians,DJ Bravo
43,44,2008-05-18,Kolkata Knight Riders,Chennai Super Kings,M Ntini
44,45,2008-05-19,Delhi Daredevils,Delhi Daredevils,SP Goswami
45,46,2008-05-20,Rajasthan Royals,Rajasthan Royals,YK Pathan
46,47,2008-05-21,Mumbai Indians,Kings XI Punjab,SE Marsh
47,48,2008-05-21,Royal Challengers Bangalore,Royal Challengers Bangalore,A Kumble
48,49,2008-05-23,Kings XI Punjab,Kings XI Punjab,SE Marsh
49,50,2008-05-24,Delhi Daredevils,Delhi Daredevils,KD Karthik
50,51,2008-05-24,Rajasthan Royals,Rajasthan Royals,JA Morkel
51,52,2008-05-03,Deccan Chargers,Royal Challengers Bangalore,P Kumar
52,53,2008-05-25,Kings XI Punjab,Kolkata Knight Riders,Umar Gul
